id,name,region
AFG,Afghanistan,South Asia
ALB,Albania,Europe
ATA,Antarctica,Other
DZA,Algeria,Middle East and North Africa
ASM,American Samoa,Oceania
AND,Andorra,Europe
AGO,Angola,Sub-Saharan Africa
ATG,Antigua and Barbuda,Caribbean and Central America
AZE,Azerbaijan,Central and Northern Asia
ARG,Argentina,South America
AUS,Australia,Oceania
AUT,Austria,Europe
BHS,Bahamas,Caribbean and Central America
BHR,Bahrain,Middle East and North Africa
BGD,Bangladesh,South Asia
ARM,Armenia,Central and Northern Asia
BRB,Barbados,Caribbean and Central America
BEL,Belgium,Europe
BMU,Bermuda,Caribbean and Central America
BTN,Bhutan,South Asia
BOL,Bolivia,South America
BIH,Bosnia Herzegovina,Europe
BWA,Botswana,Sub-Saharan Africa
BVT,Bouvet Island,Oceania
BRA,Brazil,South America
BLZ,Belize,Caribbean and Central America
IOT,British Indian Ocean Territory,Oceania
SLB,Solomon Isds,Oceania
VGB,British Virgin Isds,Caribbean and Central America
BRN,Brunei Darussalam,Southeast Asia
BGR,Bulgaria,Europe
MMR,Myanmar,Southeast Asia
BDI,Burundi,Sub-Saharan Africa
BLR,Belarus,Central and Northern Asia
KHM,Cambodia,Southeast Asia
CMR,Cameroon,Sub-Saharan Africa
CAN,Canada,North America
CPV,Cabo Verde,Sub-Saharan Africa
CYM,Cayman Isds,Caribbean and Central America
CAF,Central African Rep.,Sub-Saharan Africa
LKA,Sri Lanka,South Asia
TCD,Chad,Sub-Saharan Africa
CHL,Chile,South America
CHN,China,China
CXR,Christmas Isds,Oceania
CCK,Cocos Isds,Oceania
COL,Colombia,South America
COM,Comoros,Sub-Saharan Africa
COG,"Congo, Rep.",Sub-Saharan Africa
COD,"Congo, Dem. Rep.",Sub-Saharan Africa
COK,Cook Isds,Oceania
CRI,Costa Rica,Caribbean and Central America
HRV,Croatia,Europe
CUB,Cuba,Caribbean and Central America
CYP,Cyprus,Europe
CZE,Czech Rep.,Europe
BEN,Benin,Sub-Saharan Africa
DNK,Denmark,Europe
DMA,Dominica,Caribbean and Central America
DOM,Dominican Rep.,Caribbean and Central America
ECU,Ecuador,South America
SLV,El Salvador,Caribbean and Central America
GNQ,Equatorial Guinea,Sub-Saharan Africa
ETH,Ethiopia,Sub-Saharan Africa
ERI,Eritrea,Sub-Saharan Africa
EST,Estonia,Europe
FRO,Faeroe Isds,Europe
FLK,Falkland Isds (Malvinas),South America
SGS,South Georgia and the South Sandwich Isds,Other
FJI,Fiji,Oceania
FIN,Finland,Europe
FRA,France,Europe
PYF,French Polynesia,Oceania
ATF,French Southern Territories,Other
DJI,Djibouti,Sub-Saharan Africa
GAB,Gabon,Sub-Saharan Africa
GEO,Georgia,Central and Northern Asia
GMB,Gambia,Sub-Saharan Africa
PSE,State of Palestine,Middle East and North Africa
DEU,Germany,Europe
GHA,Ghana,Sub-Saharan Africa
GIB,Gibraltar,Europe
KIR,Kiribati,Oceania
GRC,Greece,Europe
GRL,Greenland,North America
GRD,Grenada,Caribbean and Central America
GUM,Guam,Oceania
GTM,Guatemala,Caribbean and Central America
GIN,Guinea,Sub-Saharan Africa
GUY,Guyana,South America
HTI,Haiti,Caribbean and Central America
HMD,Heard Island and McDonald Isds,Other
VAT,Holy See,Europe
HND,Honduras,Caribbean and Central America
HKG,"China, Hong Kong SAR",China
HUN,Hungary,Europe
ISL,Iceland,Europe
IDN,Indonesia,Southeast Asia
IRN,Iran,Middle East and North Africa
IRQ,Iraq,Middle East and North Africa
IRL,Ireland,Europe
ISR,Israel,Middle East and North Africa
ITA,Italy,Europe
CIV,Cote d'Ivoire,Sub-Saharan Africa
JAM,Jamaica,Caribbean and Central America
JPN,Japan,East Asia excluding China
KAZ,Kazakhstan,Central and Northern Asia
JOR,Jordan,Middle East and North Africa
KEN,Kenya,Sub-Saharan Africa
PRK,"Korea, Dem. Rep.",East Asia excluding China
KOR,"Korea, Rep.",East Asia excluding China
KWT,Kuwait,Middle East and North Africa
KGZ,Kyrgyzstan,Central and Northern Asia
LAO,Lao PDR,Southeast Asia
LBN,Lebanon,Middle East and North Africa
LSO,Lesotho,Sub-Saharan Africa
LVA,Latvia,Europe
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,Middle East and North Africa
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MAC,"China, Macao SAR",China
MDG,Madagascar,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,Southeast Asia
