src,dst,resource,value,weight
AFG,DZA,Agricultural products,27.82,3.585
AFG,AUS,Agricultural products,75.9860017,34.7858425
AFG,BHR,Agricultural products,230.663,77.043
AFG,BHR,Pearls and gemstones,0.331,0.001
AFG,BGD,Agricultural products,133.438,65.411
AFG,BGD,Metals and minerals,43.75,87.5
AFG,ARM,Agricultural products,1.606,1.25
AFG,ARM,Pearls and gemstones,NA,NA
AFG,BEL,Agricultural products,244.49060139,34.73955279
AFG,BOL,Pearls and gemstones,0.027,0.001
AFG,BIH,Agricultural products,0.02,0.002
AFG,BRA,Agricultural products,NA,NA
AFG,BGR,Agricultural products,1.127,0.025
AFG,MMR,Agricultural products,223.35,148.9
AFG,MMR,Fossil fuels,2144.8,28e3
AFG,BLR,Agricultural products,10886.5,9489.3
AFG,CAN,Agricultural products,1360.04562504,296.88166332
AFG,CAN,Fossil fuels,0.328,0.227
AFG,CAN,Metals and minerals,0.044,0.008
AFG,CAN,Pearls and gemstones,NA,NA
AFG,LKA,Agricultural products,0.053,0.023
AFG,LKA,Metals and minerals,NA,NA
AFG,LKA,Pearls and gemstones,NA,NA
AFG,CHN,Agricultural products,1760.638,661.237
AFG,CHN,Metals and minerals,453.741797,944.132872
AFG,CHN,Pearls and gemstones,15.712,17.641
AFG,COL,Pearls and gemstones,NA,NA
AFG,CZE,Agricultural products,55.137,1.538
AFG,CZE,Metals and minerals,6.046,0.278
AFG,CZE,Pearls and gemstones,34.959,80.824
AFG,BEN,Fossil fuels,19.936,41.895
AFG,DNK,Agricultural products,26.912,18
AFG,ECU,Metals and minerals,0.601,0.077
AFG,FIN,Agricultural products,3724.136,40.949
AFG,FIN,Pearls and gemstones,0.095,0.001
AFG,FRA,Agricultural products,2836.763271,723.83232082
AFG,FRA,Forestry products,72.415,27.15
AFG,FRA,Metals and minerals,26.008,32.72
AFG,FRA,Pearls and gemstones,660.304,3.992
AFG,DEU,Agricultural products,3033.05189648,877.38924822
AFG,DEU,Metals and minerals,46.957,137.63
AFG,DEU,Pearls and gemstones,1044.086,4.152
AFG,GHA,Forestry products,0.862,1.996
AFG,GRL,Agricultural products,5.669,0.9
AFG,HKG,Agricultural products,36.716,5.766
AFG,HKG,Pearls and gemstones,NA,NA
AFG,HUN,Agricultural products,1.04,0.001
AFG,IDN,Agricultural products,30.6,18
AFG,IRN,Agricultural products,13420.866,9373.731
AFG,IRN,Metals and minerals,1545.137,2729.075
AFG,IRQ,Agricultural products,9939.392,7630.604
AFG,ITA,Agricultural products,420.838,10.948
AFG,ITA,Metals and minerals,542.871,448.908
AFG,ITA,Pearls and gemstones,18.501,0.001
AFG,JPN,Agricultural products,281.6468578,157.073
AFG,JPN,Pearls and gemstones,3.846,0.075
AFG,KAZ,Agricultural products,3736.9641,2091.81164
AFG,KAZ,Fossil fuels,41.91,229.194
AFG,JOR,Agricultural products,2551.628,2620.332
AFG,JOR,Metals and minerals,12,24
AFG,KWT,Agricultural products,48.779,22.113
AFG,KGZ,Agricultural products,34.766,94.74
AFG,KGZ,Metals and minerals,38.051,88
AFG,LAO,Agricultural products,NA,NA
AFG,LBN,Agricultural products,461.272,58.971
AFG,LVA,Agricultural products,0.433,0.22
AFG,LTU,Agricultural products,27,9
AFG,MYS,Agricultural products,230.764,111.225
AFG,MYS,Metals and minerals,4.833,345.214
AFG,MLI,Agricultural products,NA,NA
AFG,MLI,Fossil fuels,12.093,1.035
AFG,MEX,Agricultural products,NA,NA
AFG,MEX,Metals and minerals,13.735,1.884
